"STATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"US1NYWS0010","2025-01-02",,,"0.08","0.1",,,,,
"US1NYWS0010","2025-01-03",,,"0.03","0.7",,,,,
"US1NYWS0010","2025-01-06",,,"0.06","1.6",,,,,
"US1NYWS0010","2025-01-07",,,"0.00",,,,,,
"US1NYWS0010","2025-01-08",,,"0.00","0.0",,,,,
"US1NYWS0010","2025-01-09",,,"0.02","0.3",,,,,
"US1NYWS0010","2025-01-11",,,"0.02","0.2",,,,,
"US1NYWS0010","2025-01-12",,,"0.07","0.6",,,,,
"US1NYWS0010","2025-01-13",,,"0.02","0.1",,,,,
"US1NYER0203","2025-01-02","   17","1.72",,,"0.0",,,,
"US1NYER0203","2025-01-03",,,"0.00","0.0",,,,,
"US1NYER0203","2025-01-04",,,"0.00","0.0",,,,,
"US1NYER0203","2025-01-05",,,"0.00","0.0",,,,,
"US1NYER0203","2025-01-06",,,"0.00","0.0",,,,,
"US1NYER0203","2025-01-07",,,"0.03","2.0",,,,,
"US1NYER0203","2025-01-08",,,"0.00","0.0",,,,,
"US1NYER0203","2025-01-09",,,"0.00",,,,,,
"US1NYER0203","2025-01-10",,,"0.00","0.0",,,,,
"US1NYER0203","2025-01-13","    3","0.13",,,,,,,
"USC00305280","2025-01-01",,,"0.45","0.0","0.0",,"47","32","36"
"USC00305280","2025-01-02",,,"0.37","0.2","0.0",,"39","33","34"
"USC00305280","2025-01-03",,,"0.90","5.8","6.0",,"36","27","27"
"USC00305280","2025-01-04",,,"0.44","8.0","11.0",,"29","18","19"
"USC00305280","2025-01-05",,,"1.06","10.5","18.0",,"28","18","21"
"USC00305280","2025-01-06",,,"0.36","4.6","19.0",,"26","10","10"
"USC00305280","2025-01-07",,,"0.06","2.4","18.0",,"18","9","15"
"USC00305280","2025-01-08",,,"0.02","0.6","16.0",,"23","15","16"
"USC00305280","2025-01-09",,,"0.04","2.0","16.5",,"19","14","14"
"USC00305280","2025-01-10",,,"0.01","1.8","15.5",,"24","10","11"
"USC00305280","2025-01-11",,,"0.03","0.6","15.0",,"28","8","19"
"USC00305280","2025-01-12",,,"0.01","0.3","13.5",,"29","19","27"
"USC00305280","2025-01-13",,,"0.00","0.1","13.0",,"34","23","28"
"US1NYDT0008","2025-01-01",,,"0.58",,,,,,
"US1NYDT0008","2025-01-02",,,"0.20","0.0","0.0",,,,
"US1NYDT0008","2025-01-03",,,"0.00","0.0",,,,,
"US1NYDT0008","2025-01-04",,,"0.00","0.0",,,,,
