STATION,NAME,LATITUDE,LONGITUDE,ELEVATION
US1NYWR0021,"BRANT LAKE 1.7 ENE, NY US",43.682236,-73.718386,382.2
US1NYER0189,"HAMBURG 2.0 N, NY US",42.753373,-78.834529,222.5
USC00304808,"LITTLE VALLEY, NY US",42.2473,-78.8125,495.3
US1NYER0066,"EAST AURORA 1.0 ESE, NY US",42.7645,-78.598,310
US1NYNG0047,"SANBORN 3.0 NNE, NY US",43.175877,-78.857251,150.9
US1NYDL0028,"FLEISCHMANNS 5.7 N, NY US",42.237796,-74.523357,760.8
US1NYSR0004,"SARATOGA SPRINGS 0.5 S, NY US",43.06032,-73.780087,94.5
USC00300317,"ATTICA 7 SW, NY US",42.8107,-78.3979,416.1
US1NYDL0025,"HOBART 4.8 ESE, NY US",42.3523,-74.5783,676.7
USC00309389,"WHITEHALL, NY US",43.5575,-73.4011,36.3
US1NYDL0023,"LONG EDDY 6.5 NNE, NY US",41.9351,-75.0784,532.2
USC00302610,"ELMIRA, NY US",42.0997,-76.8358,288.6
US1NYNG0044,"NORTH TONAWANDA 1.4 WNW, NY US",43.0517292,-78.8908272,194.8
US1NYER0075,"ELMA CENTER 0.7 SE, NY US",42.81935408,-78.62138546,265.8
US1NYOD0002,"POINT ROCK 0.6 SE, NY US",43.37335,-75.53836,335.3
USW00054757,"WELLSVILLE MUNICIPAL AIRPORT, NY US",42.10775,-77.98424,637.6
US1NYER0194,"GLENWOOD 1.0 SE, NY US",42.6074,-78.6461,402.6
US1NYER0072,"TONAWANDA 3.1 NE, NY US",43.01368,-78.82959,173.7
US1NYWR0017,"LAKE GEORGE 1.0 N, NY US",43.4403,-73.7126,181.4
US1NYOS0001,"LACONA 3.6 SSE, NY US",43.59643,-76.03732,191.4
US1NYWY0007,"VARYSBURG 3.1 E, NY US",42.7564635872841,-78.2488560676575,517.6
US1NYWR0015,"LAKE GEORGE 5.0 ESE, NY US",43.4003974,-73.6226676,127.7
US1NYOD0004,"BOONVILLE 0.2 NW, NY US",43.483333,-75.333333,345.9
US1NYWR0010,"WARRENSBURG 2.1 WNW, NY US",43.5178451538086,-73.8106918334961,202.4
USC00300668,"BIG MOOSE 3 SE, NY US",43.8176,-74.87263,591.3
USC00300785,"BOONVILLE 4 SSW, NY US",43.4361,-75.3697,472.4
US1NYNG0055,"LOCKPORT 0.9 E, NY US",43.17042,-78.678185,186.5
USC00301752,"COOPERSTOWN, NY US",42.7166,-74.9266,383.1
US1NYER0086,"TONAWANDA 1.5 NNE, NY US",43.00506667,-78.86601667,176.5
US1NYHR0020,"OLD FORGE 0.3 NE, NY US",43.7127,-74.9694,519.1
US1NYHR0023,"HERKIMER 0.6 SSE, NY US",43.021594,-74.986639,116.7
USR0000NSTO,"STONYKILL NEW YORK, NY US",41.5,-73.9,61
US1NYCN0016,"BAINBRIDGE 2.9 WSW, NY US",42.287202,-75.536347,348.7
US1NYSF0092,"AMITYVILLE 0.6 NNE, NY US",40.677211,-73.410293,6.1
US1NYNG0027,"LOCKPORT 2.8 WNW, NY US",43.189778,-78.744251,139.6
USC00301625,"COLDEN 1 W, NY US",42.6472,-78.7111,467.9
USC00309047,"WAVERLY, NY US",42.00193,-76.52497,243.8
USW00054773,"FULTON OSWEGO CO AIRPORT, NY US",43.35037,-76.38316,143.5
USC00309049,"WEBSTER 2 NE, NY US",43.2419,-77.3882,83.8
