airline,overall,traveller_type,cabin,route,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money
Turkish Airlines,1,Solo Leisure,Economy Class,Dusseldorf to Mumbai via Istanbul,1,1,1,1,2,1
Turkish Airlines,1,Couple Leisure,Economy Class,Los Angeles to Tehran via Istanbul,1,1,1,2,1,1
Turkish Airlines,1,Family Leisure,Economy Class,Istanbul to Lisbon,1,1,2,2,1,1
Turkish Airlines,1,Solo Leisure,Economy Class,Istanbul to Los Angeles,1,2,1,3,1,3
Turkish Airlines,5,Business,Business Class,Singapore to Dusseldorf via Istanbul,2,4,3,3,3,2
Turkish Airlines,10,Couple Leisure,Economy Class,London Heathrow to Istanbul,4,4,5,4,4,5
Turkish Airlines,1,Solo Leisure,Economy Class,Johannesburg to Houston via Istanbul,2,2,4,3,1,2
Turkish Airlines,1,Business,Economy Class,Pristina to Islamabad via Istanbul,3,3,1,1,1,2
Turkish Airlines,10,Couple Leisure,Economy Class,Kayseri to Istanbul,5,5,5,5,4,4
Turkish Airlines,7,Business,Business Class,Washington to Vienna via Istanbul,3,4,4,4,4,4
Turkish Airlines,1,Family Leisure,Economy Class,Cairo to San Francisco via Istanbul,1,3,2,3,1,1
Turkish Airlines,1,Solo Leisure,Economy Class,Taipei to Bremen via Istanbul,2,2,4,2,1,1
Turkish Airlines,6,Business,Business Class,Beijing to Istanbul,3,4,3,5,1,4
Turkish Airlines,1,Solo Leisure,Economy Class,Bangkok to Berlin via Istanbul,1,2,1,1,3,1
Turkish Airlines,1,Solo Leisure,Economy Class,Riyadh to Istanbul,2,2,1,3,1,1
Turkish Airlines,3,Couple Leisure,Economy Class,Shanghai to Paris CDG via Istanbul,3,1,2,3,2,2
Turkish Airlines,1,Solo Leisure,Economy Class,Gatwick to Antananarivo via Istanbul,1,1,1,3,1,1
Turkish Airlines,1,Solo Leisure,Economy Class,Boston to Tehran via Istanbul,2,3,2,3,2,1
Turkish Airlines,2,Family Leisure,Economy Class,Madrid to Alexandria via Istanbul,2,2,3,3,1,3
Turkish Airlines,3,Business,Business Class,Bangkok to Houston via Istanbul,4,5,3,4,1,2
Turkish Airlines,9,Family Leisure,Business Class,New York to Tel Aviv via Istanbul,4,5,4,4,4,5
Turkish Airlines,2,Solo Leisure,Business Class,Mauritius to Dublin via Istanbul,2,4,2,4,1,2
Turkish Airlines,9,Business,Business Class,Izmir to Bangkok via Istanbul,5,4,5,5,4,5
Turkish Airlines,8,Couple Leisure,Economy Class,Berlin to Kuala Lumpur via Istanbul,3,3,5,5,5,3
Turkish Airlines,5,Solo Leisure,Economy Class,Mumbai to Houston via Istanbul,5,5,5,5,5,1
Turkish Airlines,1,Business,Business Class,Bucharest to Houston via Istanbul,2,3,4,3,1,1
Turkish Airlines,8,Solo Leisure,Business Class,Moscow to Manila via Istanbul,5,4,4,4,5,5
Turkish Airlines,9,Solo Leisure,Economy Class,Istanbul to Tel Aviv,5,4,4,4,5,5
Turkish Airlines,1,Solo Leisure,Economy Class,Houston to Istanbul,1,1,2,2,1,2
Turkish Airlines,7,Solo Leisure,Business Class,Jakarta to Istanbul,3,4,5,3,4,4
Turkish Airlines,3,Solo Leisure,Economy Class,Manchester to Kuala Lumpur via Istanbul,1,1,3,3,2,2
Turkish Airlines,9,Solo Leisure,Business Class,Istanbul to London,4,4,4,4,3,3
Turkish Airlines,8,Solo Leisure,Economy Class,London Heathrow to Istanbul,4,4,4,4,4,4
Turkish Airlines,3,Family Leisure,Business Class,Tel Aviv to New York via Istanbul,5,4,5,5,1,3
Turkish Airlines,9,Family Leisure,Economy Class,Gothenburg to Malta via Istanbul,5,5,5,5,3,5
