id,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
27461602,23,9,1,2018-09-29,2021-11-28,4.91,4.86,4.77,4.86,4.91,4.82,4.77,0.59
27464651,9,0,0,2018-09-01,2018-12-19,4.89,4.89,4.89,4.78,4.89,4.78,4.89,0.23
27466393,6,0,0,2018-08-17,2018-10-21,4.83,5,4.67,4.67,4.67,4.83,5,0.15
27467399,27,0,0,2018-09-23,2019-11-18,5,4.96,5,5,5,4.96,4.88,0.69
27467940,6,2,1,2018-10-08,2021-11-14,4.83,4.67,4.83,5,5,5,4.67,0.16
27468323,12,0,0,2018-09-04,2020-01-02,4.36,4.45,4.55,4.91,4.91,4.82,4.45,0.3
27468927,105,49,4,2018-12-17,2021-11-29,4.8,4.89,4.91,4.81,4.9,4.74,4.75,2.9
27470574,2,0,0,2019-01-01,2019-03-01,5,4.5,4,5,5,4.5,5,0.06
27470676,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27477710,162,41,1,2018-09-30,2021-11-07,4.83,4.87,4.73,4.91,4.97,4.69,4.78,4.18
27480436,2,0,0,2019-01-03,2018-08-04,5,5,5,5,5,5,5,0.06
27482124,6,0,0,2018-11-02,2019-04-15,4.83,5,4.67,5,4.83,5,5,0.16
27482592,3,0,0,2018-08-29,2018-09-10,4.67,5,5,4.67,4.33,5,5,0.08
27483961,3,1,0,2018-12-01,2021-04-30,4.33,4,4.33,5,5,5,4.33,0.08
27484611,8,0,0,2019-01-05,2019-04-21,4.88,4.88,4.75,4.88,4.75,4.88,4.75,0.23
27488806,115,65,8,2018-10-02,2021-11-18,4.94,4.93,4.97,4.92,4.97,4.81,4.9,2.97
27489188,6,0,0,2018-08-24,2019-01-21,4.8,5,4.8,5,5,4.8,5,0.15
27489247,8,0,0,2018-08-06,2018-12-03,4.38,4.38,3.88,5,4.88,4.88,4.38,0.2
27491393,63,13,3,2019-01-09,2021-11-24,4.82,4.81,4.92,4.84,4.87,4.9,4.85,1.78
27491566,24,11,1,2019-06-25,2021-10-25,4.58,4.63,4.75,4.96,4.88,4.63,4.63,0.8
27491585,8,0,0,2018-09-26,2019-04-01,4,4.13,4.38,4.88,4.13,3.88,4.25,0.21
27492179,2,2,0,2021-07-31,2021-08-16,5,5,5,5,5,4.5,4.5,0.47
27498398,58,25,3,2019-08-14,2021-11-28,5,5,4.9,4.98,5,4.84,4.88,2.06
27499097,123,27,1,2018-11-18,2021-10-31,4.82,4.9,4.9,4.93,4.98,4.73,4.84,3.31
27501755,2,0,0,2018-08-16,2018-09-01,5,5,5,5,5,5,5,0.05
27503062,7,7,3,2021-09-30,2021-11-10,4.57,4.57,4.29,4.57,4.57,4.71,4.71,3.13
27504048,1,0,0,2018-08-20,2018-08-20,5,5,5,5,5,5,5,0.02
27505253,19,2,0,2019-10-12,2021-06-06,4.95,4.95,4.84,5,5,5,4.89,0.73
27506090,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27506095,4,0,0,2018-08-10,2018-08-15,5,5,5,5,5,4.75,4.75,0.1
27506113,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27506443,1,0,0,2018-08-14,2018-08-14,0,NA,NA,NA,NA,NA,NA,0.02
27507561,9,0,0,2019-03-30,2019-09-29,4.89,4.89,4.56,5,5,5,4.89,0.28
27508376,15,2,1,2019-06-10,2021-11-14,4.73,4.67,4.93,4.6,4.93,4.33,4.67,0.49
27508803,8,0,0,2018-08-19,2018-08-27,5,5,4.88,5,5,5,5,0.2
27509562,9,0,0,2018-10-01,2020-06-27,4.56,4.67,4.78,4.56,4.78,4.22,4.67,0.23
27509983,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27517686,46,1,0,2019-04-18,2021-08-01,4.78,4.83,4.74,4.89,4.8,4.8,4.76,1.43
27518599,103,35,3,2018-09-30,2021-11-28,4.99,4.96,4.9,4.91,4.95,4.92,4.93,2.66
27519772,2,0,0,2019-01-01,2018-08-13,4.5,5,5,5,5,4.5,5,0.06
27521122,2,0,0,2018-12-16,2020-01-02,4,5,4.5,5,5,4.5,5,0.06
27521990,5,0,0,2018-09-25,2018-10-15,5,5,5,5,5,4.6,4.8,0.13
27523125,174,48,3,2018-11-06,2021-11-14,4.95,4.94,4.96,4.95,4.97,4.77,4.9,4.64
27523631,21,1,0,2018-09-13,2021-05-02,4.52,4.67,4.48,5,4.95,4.9,4.57,0.53
