city,year,population
Bevil Oaks,2018,1234
Bevil Oaks,2019,1225
Big Lake,2010,2924
Big Lake,2011,2959
Big Lake,2012,3033
Big Lake,2013,3169
Big Lake,2014,3305
Big Lake,2015,3331
Big Lake,2016,3259
Big Lake,2017,3248
Big Lake,2018,3269
Big Lake,2019,3367
Big Sandy,2010,1356
Big Sandy,2011,1367
Big Sandy,2012,1369
Big Sandy,2013,1362
Big Sandy,2014,1380
Big Sandy,2015,1377
Big Sandy,2016,1387
Big Sandy,2017,1396
Big Sandy,2018,1393
Big Sandy,2019,1412
Big Spring,2010,27268
Big Spring,2011,27238
Big Spring,2012,27586
Big Spring,2013,28073
Big Spring,2014,28305
Big Spring,2015,28693
Big Spring,2016,27931
Big Spring,2017,27676
Big Spring,2018,27686
Big Spring,2019,28187
Big Wells,2010,700
Big Wells,2011,704
Big Wells,2012,728
Big Wells,2013,755
Big Wells,2014,760
Big Wells,2015,754
Big Wells,2016,740
Big Wells,2017,711
Big Wells,2018,706
Big Wells,2019,702
Bishop,2010,3129
Bishop,2011,3138
Bishop,2012,3165
Bishop,2013,3179
Bishop,2014,3161
Bishop,2015,3141
Bishop,2016,3123
Bishop,2017,3087
Bishop,2018,3079
Bishop,2019,3056
Bishop Hills,2010,193
Bishop Hills,2011,193
Bishop Hills,2012,193
Bishop Hills,2013,189
Bishop Hills,2014,188
Bishop Hills,2015,185
Bishop Hills,2016,183
Bishop Hills,2017,181
Bishop Hills,2018,179
Bishop Hills,2019,178
Blackwell,2010,312
Blackwell,2011,310
Blackwell,2012,307
Blackwell,2013,310
Blackwell,2014,313
Blackwell,2015,313
Blackwell,2016,314
Blackwell,2017,311
Blackwell,2018,311
Blackwell,2019,310
Blanco,2010,1805
Blanco,2011,1801
Blanco,2012,1814
Blanco,2013,1807
Blanco,2014,1898
Blanco,2015,1925
Blanco,2016,1982
Blanco,2017,1988
Blanco,2018,2023
Blanco,2019,2071
Blanket,2010,389
Blanket,2011,388
Blanket,2012,385
Blanket,2013,382
Blanket,2014,378
Blanket,2015,378
Blanket,2016,378
Blanket,2017,376
Blanket,2018,371
Blanket,2019,368
Bloomburg,2010,402
Bloomburg,2011,399
Bloomburg,2012,395
Bloomburg,2013,399
Bloomburg,2014,396
Bloomburg,2015,396
Bloomburg,2016,396
Bloomburg,2017,393
Bloomburg,2018,395
Bloomburg,2019,393
Blooming Grove,2010,823
Blooming Grove,2011,827
Blooming Grove,2012,822
Blooming Grove,2013,814
Blooming Grove,2014,818
Blooming Grove,2015,819
Blooming Grove,2016,821
Blooming Grove,2017,824
Blooming Grove,2018,829
Blooming Grove,2019,835
Blossom,2010,1494
Blossom,2011,1528
Blossom,2012,1537
Blossom,2013,1529
Blossom,2014,1539
Blossom,2015,1544
Blossom,2016,1552
Blossom,2017,1556
Blossom,2018,1563
Blossom,2019,1569
Blue Mound,2010,2398
Blue Mound,2011,2417
Blue Mound,2012,2443
Blue Mound,2013,2454
Blue Mound,2014,2466
Blue Mound,2015,2480
Blue Mound,2016,2494
Blue Mound,2017,2490
Blue Mound,2018,2471
Blue Mound,2019,2445
Blue Ridge,2010,799
Blue Ridge,2011,813
Blue Ridge,2012,822
Blue Ridge,2013,819
Blue Ridge,2014,828
Blue Ridge,2015,841
Blue Ridge,2016,844
Blue Ridge,2017,872
Blue Ridge,2018,916
Blue Ridge,2019,926
Blum,2010,445
Blum,2011,445
Blum,2012,447
Blum,2013,442
Blum,2014,441
Blum,2015,443
Blum,2016,446
Blum,2017,455
Blum,2018,462
Blum,2019,467
Boerne,2010,10729
Boerne,2011,11095
Boerne,2012,11582
Boerne,2013,12233
Boerne,2014,12738
Boerne,2015,13583
Boerne,2016,14512
Boerne,2017,16053
Boerne,2018,17097
Boerne,2019,18232
Bogata,2010,1155
Bogata,2011,1142
Bogata,2012,1142
Bogata,2013,1118
Bogata,2014,1109
Bogata,2015,1097
Bogata,2016,1078
Bogata,2017,1078
Bogata,2018,1074
Bogata,2019,1063
Bonham,2010,10128
Bonham,2011,10070
Bonham,2012,9924
Bonham,2013,9895
Bonham,2014,9950
Bonham,2015,9885
Bonham,2016,10036
Bonham,2017,10186
