city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng
Muskegon,Muskegon,MI,Michigan,26121,Muskegon County,43.2281,-86.2562
Springfield,Springfield,IL,Illinois,17167,Sangamon County,39.7709,-89.654
Hayward,Hayward,CA,California,06001,Alameda County,37.6328,-122.0766
New Bedford,New Bedford,MA,Massachusetts,25005,Bristol County,41.6697,-70.9428
Alexandria,Alexandria,VA,Virginia,51510,Alexandria County,38.8185,-77.0861
Paterson,Paterson,NJ,New Jersey,34031,Passaic County,40.9147,-74.1624
Corona,Corona,CA,California,06065,Riverside County,33.8616,-117.5649
Merced,Merced,CA,California,06047,Merced County,37.3057,-120.4779
Warner Robins,Warner Robins,GA,Georgia,13153,Houston County,32.5961,-83.6527
Port Arthur,Port Arthur,TX,Texas,48245,Jefferson County,29.8554,-93.9264
Macon,Macon,GA,Georgia,13021,Bibb County,32.8065,-83.6974
Kansas City,Kansas City,KS,Kansas,20209,Wyandotte County,39.1235,-94.7443
Lakewood,Lakewood,CO,Colorado,08059,Jefferson County,39.6977,-105.1172
Sunnyvale,Sunnyvale,CA,California,06085,Santa Clara County,37.3836,-122.0255
Fredericksburg,Fredericksburg,VA,Virginia,51630,Fredericksburg County,38.2992,-77.4872
Leesburg,Leesburg,FL,Florida,12069,Lake County,28.7672,-81.8962
Champaign,Champaign,IL,Illinois,17019,Champaign County,40.1142,-88.2737
Hollywood,Hollywood,FL,Florida,12011,Broward County,26.0293,-80.1679
Pasadena,Pasadena,TX,Texas,48201,Harris County,29.6575,-95.1498
Pomona,Pomona,CA,California,06037,Los Angeles County,34.0585,-117.7626
Escondido,Escondido,CA,California,06073,San Diego County,33.1348,-117.0723
Joliet,Joliet,IL,Illinois,17197,Will County,41.5188,-88.1499
Lake Charles,Lake Charles,LA,Louisiana,22019,Calcasieu County,30.201,-93.2111
Mesquite,Mesquite,TX,Texas,48113,Dallas County,32.7602,-96.5865
Mauldin,Mauldin,SC,South Carolina,45045,Greenville County,34.7821,-82.3032
Panama City,Panama City,FL,Florida,12005,Bay County,30.1995,-85.6003
Bellevue,Bellevue,WA,Washington,53033,King County,47.5951,-122.1535
Naperville,Naperville,IL,Illinois,17043,DuPage County,41.748,-88.1659
Harlingen,Harlingen,TX,Texas,48061,Cameron County,26.1916,-97.6977
Tuscaloosa,Tuscaloosa,AL,Alabama,01125,Tuscaloosa County,33.2348,-87.5268
Elkhart,Elkhart,IN,Indiana,18039,Elkhart County,41.6916,-85.9627
Torrance,Torrance,CA,California,06037,Los Angeles County,33.8346,-118.3416
Binghamton,Binghamton,NY,New York,36007,Broome County,42.1014,-75.9093
Houma,Houma,LA,Louisiana,22109,Terrebonne County,29.58,-90.7059
Topeka,Topeka,KS,Kansas,20177,Shawnee County,39.0346,-95.6955
Roseville,Roseville,CA,California,06061,Placer County,38.7703,-121.3196
Fairfield,Fairfield,CA,California,06095,Solano County,38.2583,-122.0335
Tyler,Tyler,TX,Texas,48423,Smith County,32.3184,-95.3062
Fullerton,Fullerton,CA,California,06059,Orange County,33.8841,-117.9279
Pueblo,Pueblo,CO,Colorado,08101,Pueblo County,38.2701,-104.6114
Athens,Athens,GA,Georgia,13059,Clarke County,33.9508,-83.3689
Santa Maria,Santa Maria,CA,California,06083,Santa Barbara County,34.9333,-120.4431
Surprise,Surprise,AZ,Arizona,04013,Maricopa County,33.6815,-112.4515
Charleston,Charleston,WV,West Virginia,54039,Kanawha County,38.3484,-81.6322
Las Cruces,Las Cruces,NM,New Mexico,35013,Doña Ana County,32.3265,-106.7893
Metairie,Metairie,LA,Louisiana,22051,Jefferson County,29.9977,-90.178
Thornton,Thornton,CO,Colorado,08001,Adams County,39.9197,-104.9438
Olathe,Olathe,KS,Kansas,20091,Johnson County,38.8833,-94.82
Carolina,Carolina,PR,Puerto Rico,72031,Carolina County,18.4054,-65.9792
Gainesville,Gainesville,GA,Georgia,13139,Hall County,34.2902,-83.8294
West Valley City,West Valley City,UT,Utah,49035,Salt Lake County,40.6886,-112.0123
Orange,Orange,CA,California,06059,Orange County,33.8038,-117.8218
Warren,Warren,MI,Michigan,26099,Macomb County,42.4934,-83.027
Pasadena,Pasadena,CA,California,06037,Los Angeles County,34.1597,-118.139
Beaumont,Beaumont,TX,Texas,48245,Jefferson County,30.0849,-94.1451
Burlington,Burlington,NC,North Carolina,37001,Alamance County,36.076,-79.4685
Hampton,Hampton,VA,Virginia,51650,Hampton County,37.0551,-76.363
Columbia,Columbia,MO,Missouri,29019,Boone County,38.9472,-92.3268
Yuma,Yuma,AZ,Arizona,04027,Yuma County,32.5995,-114.5491
Elizabeth,Elizabeth,NJ,New Jersey,34039,Union County,40.6658,-74.1913
Racine,Racine,WI,Wisconsin,55101,Racine County,42.7274,-87.8135
Greeley,Greeley,CO,Colorado,08123,Weld County,40.4152,-104.7706
Kent,Kent,WA,Washington,53033,King County,47.3887,-122.2128
Stamford,Stamford,CT,Connecticut,09001,Fairfield County,41.1039,-73.5585
Odessa,Odessa,TX,Texas,48135,Ector County,31.8801,-102.3448
Bloomington,Bloomington,IL,Illinois,17113,McLean County,40.4757,-88.9703
Miramar,Miramar,FL,Florida,12011,Broward County,25.9773,-80.3351
Grand Junction,Grand Junction,CO,Colorado,08077,Mesa County,39.0877,-108.5673
Sterling Heights,Sterling Heights,MI,Michigan,26099,Macomb County,42.5809,-83.0305
Coral Springs,Coral Springs,FL,Florida,12011,Broward County,26.2702,-80.2591
Johnson City,Johnson City,TN,Tennessee,47179,Washington County,36.3406,-82.3806
Carrollton,Carrollton,TX,Texas,48113,Dallas County,32.989,-96.8999
Midland,Midland,TX,Texas,48329,Midland County,32.0243,-102.1147
Yakima,Yakima,WA,Washington,53077,Yakima County,46.5923,-120.5496
